Country,PopSexRatio,Individualism,Masculinity,GenderEqality,HumanDevelopmentIndex,OverallLifeSatisfactionIndex,AUTHORITY.Cohen.d,FAIRNESS.Cohen.d,HARM.Cohen.d,INGROUP.Cohen.d,PURITY.Cohen.d,CTL_DS,CTL_DG,CTL_C
Afghanistan,1.03,NA,NA,0.667,0.479,3.1,-0.128843503,0.239919194,0.578152094,-0.204971926,0.138695011,,,
Albania,0.98,20,80,0.267,0.764,4.6,-0.064876084,-0.099453726,0.180460541,-0.068736595,0.005799027,22.6,52.9,37.2
Argentina,0.98,46,56,0.362,0.827,6.7,-0.139462738,0.27797483,0.513887614,-0.064472606,-0.042685739,74.5,88.4,75
Australia,1.01,90,61,0.12,0.939,7.3,-0.020344692,0.321964475,0.670986901,-0.088030498,0.152963538,,,
Austria,0.96,55,79,0.078,0.893,7.1,0.019992709,0.013553872,0.376106992,0.017068902,0.35051762,88.8,68.3,75.8
Belgium,0.97,75,54,0.073,0.896,6.9,-0.096348532,0.018267657,0.326015087,-0.053074857,0.128911105,70.1,126.7,119.8
Brazil,0.97,38,49,0.414,0.754,7,0.015944405,0.258051948,0.512882481,-0.023399493,0.091397795,,,
Bulgaria,0.95,30,40,0.223,0.794,4.4,0.074253975,0.229804214,0.655641047,0.318276231,0.259109348,54.3,80.8,60.4
Canada,0.98,80,52,0.098,0.92,7.3,-0.05923939,0.229368411,0.594319322,-0.062525041,0.149524076,74.7,89.3,84.6
Chile,0.97,23,28,0.322,0.847,6.8,-0.14870862,0.332384482,0.507400221,0.141554985,0.077400231,66.1,112,86.8
China,1.06,20,66,0.164,0.738,5.3,0.121248404,0.187849796,0.368237841,0.154974243,0.28556717,35.3,,
Colombia,0.98,13,64,0.393,0.727,6.4,0.176185529,0.012116063,0.458777851,0.269892697,0.299047484,,,
Croatia,0.93,33,40,0.141,0.827,5.2,-0.126909764,0.403213044,0.571036634,0.019001442,0.24057146,57.1,61.7,55
Czech Republic,0.97,58,57,0.129,0.878,6.6,-0.123619225,0.255877404,0.466500537,0.087900587,0.024251718,73.3,58.4,59.6
Denmark,0.97,74,16,0.041,0.925,7.5,0.032109467,0.199804021,0.645816781,0.150126988,0.222792844,90.6,40.5,65.5
Egypt,1.05,25,45,0.565,0.691,4.8,-0.211025119,0.292714964,0.60182007,0.103245591,0.036420167,4.8,0,3.9
Finland,0.97,63,26,0.056,0.895,7.4,-0.151623188,0.362478075,0.736969362,-0.0517238,0.139486356,67.7,72.3,74.5
France,0.96,71,43,0.102,0.897,6.4,-0.117351521,0.263904857,0.525639954,-0.049919418,0.083645469,66.8,101.3,99.6
Germany,0.97,67,66,0.066,0.926,7,0.047346617,0.352531457,0.664450013,-0.026974823,0.268112396,75.6,74.5,82.9
Greece,0.95,35,57,0.119,0.866,5.6,-0.121021851,0.225954655,0.663308986,0.039910142,0.118052142,60.9,80.8,58.3
Guatemala,0.97,6,37,0.494,0.64,6.5,-0.01306933,0.240771078,0.605977748,-0.168271997,0.292992755,,,
Hong Kong,0.87,25,57,NA,0.917,5.5,0.035177504,0.243474379,0.517059378,0.004104278,0.159340607,,,
Hungary,0.91,80,88,0.252,0.836,5.3,-0.025007482,0.066649987,0.451646825,0.137455811,0.209187265,37.3,61.1,42.8
Iceland,1.01,60,10,0.051,0.921,7.5,0.057229784,0.212370877,0.517190522,0.104615445,-0.083080892,51.1,35.7,51.2
India,1.08,48,56,0.53,0.624,4.3,-0.085501216,0.158158437,0.359477249,0.018523622,0.049641142,111.8,110.6,43.7
Indonesia,1,14,46,0.467,0.689,5,0.042817346,0.198356479,0.3606948,-0.033166076,0.111749953,2.5,4.2,3.1
Iran,1.03,41,43,0.509,0.774,4.7,0.272315264,-0.0302655,0.207199471,0.140083959,0.193376749,17.8,26.9,31.5
Ireland,1,70,68,0.127,0.923,6.8,0.023211734,0.237807278,0.470392254,0.068083187,0.198081259,52.7,76.8,71.2
Israel,1.01,54,47,0.103,0.899,7.4,-0.149485456,0.373765335,0.676238694,-0.134911717,0.001690135,,,
Italy,0.93,76,70,0.085,0.887,5.8,0.002064234,0.26227036,0.579488129,-0.009201627,0.114749743,62.4,84.6,67.8
Japan,0.94,46,95,0.116,0.903,5.9,0.105942403,0.047273384,0.253464646,0.010195223,0.43132897,56.8,39.2,43.3
Kenya,1,25,60,0.565,0.555,4.4,0.408941729,0.236317858,0.57626377,0.296348479,0.447087197,,,
Korea (South),1,18,39,0.067,0.901,5.8,-0.090176403,0.103883735,0.391500818,0.007240849,0.102926841,48,28.8,20.1
Latvia,0.85,70,9,0.191,0.83,5.9,-0.063092381,0.036101387,0.254599596,0.050184976,0.171549682,47.4,54,42.7
Lithuania,0.86,60,19,0.121,0.848,5.7,0.21516203,0.503466378,0.971521508,0.665731823,0.425381296,40.3,54.6,54.4
Malaysia,1.03,26,50,0.291,0.789,6.3,0.236576842,0.104563346,0.325662945,0.252832391,0.437831104,,,
Mexico,0.96,30,69,0.345,0.762,6.2,0.213520685,0.216853295,0.509407008,0.200475553,0.266011868,74.7,111.5,74.7
Netherlands,0.98,80,14,0.044,0.924,7.3,-0.075747109,0.252192493,0.429245191,-0.108509461,0.2024565,62.5,61.7,78.9
New Zealand,0.99,79,58,0.158,0.915,7.4,-0.032835366,0.26439766,0.596215884,0.04625138,0.17630386,,,
Nigeria,1.04,30,60,NA,0.527,4.9,-0.00953605,0.104918703,0.590647896,0.010372199,-0.004015573,14.1,30.7,17.9
Norway,1.02,69,8,0.053,0.949,7.6,0.046126493,0.261670035,0.551975458,0.023682483,0.251340805,,,
Pakistan,1.06,14,50,0.546,0.55,4.8,0.125021195,0.212092201,0.377065071,0.247682302,0.28804983,0,4.1,
Peru,0.97,16,42,0.385,0.74,5.6,-0.189519685,0.43434012,0.587365662,-0.040524679,0.160839794,35.2,66.8,52.3
Philippines,1.01,32,64,0.436,0.682,5.5,0.249048446,0.114577131,0.429325551,0.08136682,0.252371243,49.6,46.6,31.5
Poland,0.94,60,64,0.137,0.855,6,-0.109770971,0.40634021,0.848690294,0.010910083,0.043479668,66.6,56.3,42.8
Portugal,0.96,27,31,0.091,0.843,5.1,-0.066895217,0.0389672,0.257515285,-0.135221199,-0.040269254,51.6,78.6,87.4
Puerto Rico,0.91,27,56,NA,NA,NA,-0.029942661,0.249919182,0.531844335,0.173036826,0.269032412,46.5,68.2,63.1
Romania,0.95,30,42,0.339,0.802,5.8,0.142467204,0.300671029,0.75329385,0.177453405,0.264048893,47.5,59,42.4
Russian Federation,0.86,39,36,0.271,0.804,6,-0.035995193,0.252852843,0.812435971,-0.023168367,0.138340389,45.8,70.4,57.2
Saudi Arabia,1.19,25,60,0.257,0.847,6.3,0.006755016,0.109410507,0.344165026,-0.091719836,0.039032543,15.1,,22.4
Serbia and Montenegro,0.95,25,43,0.171,0.792,6,0.143516677,0.160970302,0.363422796,-0.025344232,0.084324428,43.4,73.8,61.8
Singapore,0.96,20,48,0.068,0.925,6.6,0.124649343,0.151205513,0.465603064,0.1064425,0.363245554,35,,55.2
Slovakia,0.94,52,100,0.179,0.845,6.2,-0.273270159,0.560406741,0.790864118,0.093307302,0.087536498,78.4,76.4,59
Slovenia,0.95,27,19,0.053,0.89,5.7,-0.077207296,0.166985578,0.573934292,-0.041230403,-0.004830967,109.6,78.5,55.1
South Africa,0.98,65,63,0.394,0.666,4.9,0.074979294,0.188505582,0.55533469,0.052516433,0.255015019,52.2,110.6,67.6
Spain,0.98,51,42,0.081,0.884,6.4,-0.103275063,0.289494044,0.67133455,-0.097020087,0.177078182,80.9,96.4,83.9
Sweden,1,71,5,0.048,0.913,7.3,0.008146215,0.333581144,0.641301,0.085075689,0.164264714,63.5,47.3,87.9
Switzerland,0.97,68,70,0.04,0.939,7.6,0.065175733,0.183181899,0.469115641,0.12764054,0.246815155,,,
Taiwan,0.99,17,45,NA,NA,NA,0.056621382,0.105754247,0.123594407,0.080809182,0.311294453,,,
Thailand,0.97,20,34,0.366,0.74,6.2,0.097901106,0.25362361,0.402957992,0.132963977,0.193550422,,,
Turkey,1.01,37,45,0.328,0.767,5.5,0.050242201,0.168889067,0.519175725,-0.058387292,0.081106821,11.7,31.7,31.6
Ukraine,0.86,25,27,0.284,0.743,4.3,-0.039370534,0.299891323,0.646939486,0.058288537,0.294696913,52.6,81.3,56.9
United Arab Emirates,2.18,25,50,0.232,0.84,6.6,-0.278425721,0.393268461,0.344534096,-0.211952984,-0.021211634,,,
United Kingdom,0.99,89,66,0.131,0.909,6.5,-0.025226531,0.257440536,0.548239398,-0.060534371,0.169596423,,,
USA,0.97,91,62,0.203,0.92,7.2,0.019119033,0.256147817,0.645906265,-0.07822611,0.146928854,67.9,71.5,58
Venezuela,0.99,12,73,0.461,0.767,6.1,0.198414323,0.331208992,0.56520079,0.187850828,0.350495847,39.2,,
Vietnam,1,20,40,NA,NA,NA,0.118545485,-0.071183442,0.143203647,0.237670393,0.345371958,21.8,41.2,35.9
